model_component,evidence_type,input_dim,output_dim,macs,lanes,control_overhead_cycles,cycles,clock_hz_board,clock_hz_fmax,clock_source_fmax,compute_time_us_50mhz,compute_time_us_fmax,weight_preloaded,activation_transfer_bytes,result_transfer_bytes,interface,assumption_case,driver_overhead_us,assumed_transfer_bandwidth_MBps,transfer_time_us,optimized_interface_latency_us_50mhz,optimized_interface_latency_us_fmax,optimized_interface_latency_ms,estimate_boundary
compute_only_lower_bound,projected,16,4,64,1,4,68,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,1.360000000,1.199929416,True,16,16,compute_only,lower_bound,0,,0.000000,1.360000000,1.199929416,0.001199929,projected compute-only estimate; not measured board latency
compute_only_lower_bound,projected,16,4,64,4,4,20,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.400000000,0.352920416,True,16,16,compute_only,lower_bound,0,,0.000000,0.400000000,0.352920416,0.000352920,projected compute-only estimate; not measured board latency
compute_only_lower_bound,projected,16,4,64,8,4,12,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.240000000,0.211752250,True,16,16,compute_only,lower_bound,0,,0.000000,0.240000000,0.211752250,0.000211752,projected compute-only estimate; not measured board latency
compute_only_lower_bound,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,compute_only,lower_bound,0,,0.000000,0.160000000,0.141168167,0.000141168,projected compute-only estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,ideal_register_batch,conservative,10,20000,0.001600,10.161600000,10.142768167,0.010142768,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,ideal_register_batch,nominal,5,20000,0.001600,5.161600000,5.142768167,0.005142768,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,ideal_register_batch,aggressive,2,20000,0.001600,2.161600000,2.142768167,0.002142768,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,low_overhead_driver,conservative,100,100,0.320000,100.480000000,100.461168167,0.100461168,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,low_overhead_driver,nominal,50,100,0.320000,50.480000000,50.461168167,0.050461168,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,low_overhead_driver,aggressive,20,100,0.320000,20.480000000,20.461168167,0.020461168,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,dma_shared_memory_style,conservative,25,1000,0.032000,25.192000000,25.173168167,0.025173168,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,dma_shared_memory_style,nominal,10,1000,0.032000,10.192000000,10.173168167,0.010173168,projected optimized-interface estimate; not measured board latency
optimized_interface_estimate,projected,16,4,64,16,4,8,50000000,56670000,Quartus Slow 1200mV 85C Model CLOCK_50 Fmax,0.160000000,0.141168167,True,16,16,dma_shared_memory_style,aggressive,5,1000,0.032000,5.192000000,5.173168167,0.005173168,projected optimized-interface estimate; not measured board latency
