input log file location, C:\Users\dbsgu\Dev\sllm_qnn_exp\pulled_y700_qnn\lm_head_cpu\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
133220258703,INIT,11535,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
133220272252,FINALIZE,11525,US,NETRUN,ROOT,Graph 0: lm_head_float
133220272252,FINALIZE,11477,US,BACKEND,ROOT,GRAPH_FINALIZE
133220300414,DE-INIT,3586,US,NETRUN,ROOT,null
133220300414,DE-INIT,0,US,BACKEND,ROOT,null
133220295291,EXECUTE,11710,US,NETRUN,ROOT,Graph 0: lm_head_float
133220295291,EXECUTE,5894,US,BACKEND,ROOT,GRAPH_EXECUTE
133220296586,EXECUTE IPS,43.813530,INF/SEC,NETRUN,ROOT,null
