input log file location, C:\Users\dbsgu\Dev\sllm_qnn_exp\pulled_y700_qnn_10\lm_head_cpu_10\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
133434597706,INIT,12327,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
133434611822,FINALIZE,12325,US,NETRUN,ROOT,Graph 0: lm_head_float
133434611822,FINALIZE,12320,US,BACKEND,ROOT,GRAPH_FINALIZE
133434849845,DE-INIT,3124,US,NETRUN,ROOT,null
133434849845,DE-INIT,0,US,BACKEND,ROOT,null
133434656281,EXECUTE,31976,US,NETRUN,ROOT,Graph 0: lm_head_float
133434656281,EXECUTE,25730,US,BACKEND,ROOT,GRAPH_EXECUTE
133434677984,EXECUTE,13575,US,NETRUN,ROOT,Graph 0: lm_head_float
133434677984,EXECUTE,11251,US,BACKEND,ROOT,GRAPH_EXECUTE
133434692386,EXECUTE,7239,US,NETRUN,ROOT,Graph 0: lm_head_float
133434692386,EXECUTE,6023,US,BACKEND,ROOT,GRAPH_EXECUTE
133434713378,EXECUTE,12155,US,NETRUN,ROOT,Graph 0: lm_head_float
133434713378,EXECUTE,10248,US,BACKEND,ROOT,GRAPH_EXECUTE
133434735912,EXECUTE,14356,US,NETRUN,ROOT,Graph 0: lm_head_float
133434735912,EXECUTE,12642,US,BACKEND,ROOT,GRAPH_EXECUTE
133434755144,EXECUTE,10148,US,NETRUN,ROOT,Graph 0: lm_head_float
133434755144,EXECUTE,8418,US,BACKEND,ROOT,GRAPH_EXECUTE
133434777284,EXECUTE,11044,US,NETRUN,ROOT,Graph 0: lm_head_float
133434777284,EXECUTE,9109,US,BACKEND,ROOT,GRAPH_EXECUTE
133434807081,EXECUTE,20187,US,NETRUN,ROOT,Graph 0: lm_head_float
133434807081,EXECUTE,18560,US,BACKEND,ROOT,GRAPH_EXECUTE
133434827247,EXECUTE,13263,US,NETRUN,ROOT,Graph 0: lm_head_float
133434827247,EXECUTE,11662,US,BACKEND,ROOT,GRAPH_EXECUTE
133434844999,EXECUTE,7974,US,NETRUN,ROOT,Graph 0: lm_head_float
133434844999,EXECUTE,6674,US,BACKEND,ROOT,GRAPH_EXECUTE
133434846200,EXECUTE IPS,42.928036,INF/SEC,NETRUN,ROOT,null
