input log file location, C:\Users\dbsgu\Dev\sllm_qnn_exp\pulled_y700_qnn_htp\lm_head_htp\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
133322355713,INIT,84827,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
133322559638,FINALIZE,84658,US,NETRUN,ROOT,Graph 0: lm_head_float
133322559638,FINALIZE,5390,US,BACKEND,ROOT,RPC (finalize) time
133322559638,FINALIZE,4111,US,BACKEND,ROOT,QNN accelerator (finalize) time
133322559638,FINALIZE,3974,US,BACKEND,ROOT,Accelerator (finalize) time
133322559638,FINALIZE,84624,US,BACKEND,ROOT,QNN (finalize) time
133322589976,DE-INIT,7849,US,NETRUN,ROOT,null
133322589976,DE-INIT,1498,US,BACKEND,ROOT,RPC (deinit) time
133322589976,DE-INIT,1045,US,BACKEND,ROOT,QNN Accelerator (deinit) time
133322589976,DE-INIT,1004,US,BACKEND,ROOT,Accelerator (deinit) time
133322589976,DE-INIT,7819,US,BACKEND,ROOT,QNN (deinit) time
133322580131,EXECUTE,7523,US,NETRUN,ROOT,Graph 0: lm_head_float
133322580131,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
133322580131,EXECUTE,6144,US,BACKEND,ROOT,RPC (execute) time
133322580131,EXECUTE,4771,US,BACKEND,ROOT,QNN accelerator (execute) time
133322580131,EXECUTE,4719,US,BACKEND,ROOT,Accelerator (execute) time
133322580131,EXECUTE,2872,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
133322580131,EXECUTE,7461,US,BACKEND,ROOT,QNN (execute) time
133322581342,EXECUTE IPS,50.097691,INF/SEC,NETRUN,ROOT,null
