item,value,source
CPU model,AMD Ryzen 7 9700X 8-Core Processor,/proc/cpuinfo
CPU logical threads,16,os.cpu_count()
RAM,31939216 kB,/proc/meminfo
OS,Linux-6.17.0-35-generic-x86_64-with-glibc2.42,platform.platform()
Python,3.13.13,platform.python_version()
onnxruntime,1.26.0,Python package
onnx,1.21.0,Python package
Quartus,Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition,quartus_sh --version
FPGA device,10M50DAF484,paper_assets/tables/decode_matvec_board_validation.csv
ORT provider for sweeps,CPUExecutionProvider,sweep configuration
