op_type,count,total_dur_us,avg_dur_us,providers
MatMul,633,349520.0,552.164,CPUExecutionProvider:633
SimplifiedLayerNormalization,471,18728.0,39.762,CPUExecutionProvider:471
Mul,1020,8292.0,8.129,CPUExecutionProvider:1020
Tanh,78,7469.0,95.756,CPUExecutionProvider:78
Unsqueeze,1377,6248.0,4.537,CPUExecutionProvider:1377
Gather,1038,5199.0,5.009,CPUExecutionProvider:1038
Concat,795,5131.0,6.454,CPUExecutionProvider:795
Transpose,318,4986.0,15.679,CPUExecutionProvider:318
Add,555,3754.0,6.764,CPUExecutionProvider:555
Reshape,636,3083.0,4.847,CPUExecutionProvider:636
Slice,390,2724.0,6.985,CPUExecutionProvider:390
Where,318,2318.0,7.289,CPUExecutionProvider:318
Shape,486,2198.0,4.523,CPUExecutionProvider:486
Expand,168,1479.0,8.804,CPUExecutionProvider:168
FusedMatMul,78,1291.0,16.551,CPUExecutionProvider:78
Equal,162,953.0,5.883,CPUExecutionProvider:162
Div,156,948.0,6.077,CPUExecutionProvider:156
Neg,156,886.0,5.679,CPUExecutionProvider:156
Softmax,78,560.0,7.179,CPUExecutionProvider:78
IsNaN,78,415.0,5.321,CPUExecutionProvider:78
And,18,110.0,6.111,CPUExecutionProvider:18
Sin,6,56.0,9.333,CPUExecutionProvider:6
Cos,6,51.0,8.5,CPUExecutionProvider:6
Range,9,44.0,4.889,CPUExecutionProvider:9
Cast,6,37.0,6.167,CPUExecutionProvider:6
Greater,3,19.0,6.333,CPUExecutionProvider:3
Sub,3,19.0,6.333,CPUExecutionProvider:3
LessOrEqual,3,17.0,5.667,CPUExecutionProvider:3
Flatten,3,15.0,5.0,CPUExecutionProvider:3
